行政區,建照年度,完工年度,建案名稱,基地面積(坪),建蔽面積(坪),建蔽率(%),容積率(%),公設比(%),棟數,地上樓層,地下樓層,總戶數,平面車位,機械車位,總車位數,預估工期,建造執照,預估工期.1,投資建設,建築設計,營造公司,企劃銷售,結構工程,座向規劃,車位規劃,車位配比,用途規劃,土地分區,管理費用,景觀設計,公設設計,燈光設計,棟戶規劃,樓層規劃,基地地址,建材說明,url,爬蟲耗時(秒),更新日期,sell type
北投區,NA,115,禾碩樹晴,179.0,116,65.0,560,32.5,1,15,4,64,24,25,49,NA,NA,NA,禾碩建設,黃翔龍建築師事務所,待定,信義代銷,RC,朝南、朝西南,平面式24個、機械式25個、無充電樁,1:0.77,住商用,第三種商業區,120元/坪/月,禾澤設計公司,NA,NA,1幢，1棟，61戶住家，3戶店面,"地上15層,地下4層",台北市北投區磺港路88號,廚房：林內三機。衛浴：Panasonic、TOTO。室內地坪：德國超耐磨地板-太格。,https://market.591.com.tw/3681492,53,2022-10-26,market
北投區,109,113,韋昌画清江,202.0,84,41.9,225,32.6,1,10,2,38,12,13,25,4,109建字第0253號,4,韋昌建設,郭恆成建築師事務所,待定,海揚廣告,RC鋼筋混凝土結構,朝北,平面式12個、機械式13個,1:0.66,住家用,第三種住宅區,90元/坪/月,郭恆成建築師事務所,郭恆成建築師事務所,郭恆成建築師事務所,1幢，1棟，38戶住家,地上10層，地下2層,台北市北投區清江路91巷,RC鋼筋混凝土,https://newhouse.591.com.tw/126576/detail,93,2022-10-26,newhouse
北投區,109,114,富域,887.0,461,52.06,560,33,2,27、21,5,201,245,0,245,5,109建字第0066號,5,麗源建設,寬泉聯合建築師事務所,笙泰營造,新聯陽機構-新聯昌廣告,SRC鋼骨鋼筋混凝土結構,朝南,平面式245個,1:1.22,住商用,第三種商業區,90元/坪/月,綠點,綠點,磐石設計,1幢，2棟，174戶住家，19戶店面，8戶一般事務所,地上27、21層，地下5層,台北市北投區中央南路、大興街口,東和SN級耐震鋼材、日本住友制震壁、比利時Promat隔音墊、英國STUDOR排水通氣系統、三菱電梯搭配SHARP空氣清淨機、日本YKKAP氣密窗、6+6mmlow-E玻璃、日本TOTO衛浴、BELEGA廚具搭配奧地利blum五金、德國Bosch洗碗機、林內三口瓦斯爐,https://newhouse.591.com.tw/129392/detail,83,2022-10-26,newhouse
北投區,NA,114,達永豐盛學,393.0,262,66.75,560,33,1,20,6,115,73,64,137,NA,NA,NA,達永開發,黃秀莊建築師事務所,暫無,傳真行銷,SRC,朝南,平面式73個、機械式64個、無充電樁,1:1.01,住商用,第三種商業區,90元/戶/月,NA,SL+A,NA,1幢，1棟，108戶住家，7戶店面,"地上20層,地下6層",台北市北投區中央北路一段88號,廚具：德國LEICHT，衛浴：德國DURAVIT，五金：Hansgrohe，其他：YKK8+8玻璃氣密窗,https://market.591.com.tw/3699791,53,2022-10-26,market
北投區,110,114,睦昇天朗,392.0,175,44.7,225,34.9,1,15,3,68,66,0,66,4,110建字第0258號,4,惟瓦地/睦昇國際,陳維翔建築師事務所,待定,梁茂廣告,RC,朝東北,平面式66個、預留管線,1:0.97,住商用,第三種住宅區,150元/坪/月,太研規劃設計-吳書原,築十設計-何孟懷,無,1幢，1棟，63戶住家，5戶店面,"地上15層,地下3層",台北市北投區石牌路一段166巷71號,廚具：LEIGHT，衛浴：DURAVIT，五金：DURAVIT,https://market.591.com.tw/5857794,54,2022-10-26,market
北投區,NA,114,聽禾,221.0,126,57.44,400,33.95,5,15,4,56,44,0,44,NA,NA,NA,沛碩建設,周文斌及吳嘉雄建築師事務所,遠碩營造,信義房屋,RC,朝南、朝西,平面式44個、無充電樁,1:0.79,住商用,第三之二種住宅區,100元/坪/月,NA,術刻建築事務所,NA,1幢，5棟，52戶住家，4戶店面,"地上15層,地下4層",台北市北投區大業路388號,日系YKK鋁門窗LOW-E玻璃(大業路面)日系SHARP電梯空氣淨化德國BWT社區及各戶淨水系統廚房林內或櫻花三機設備並搭配進口烤箱及下拉欄衛浴採V&B、TOTO或INEX，主衛馬桶英國CROSSWATER、TOTO或INEX電腦馬桶太格德國精工木地板平面車位全數預留電動汽車充電空間(預留中央線槽、無電源線),https://market.591.com.tw/3669659,54,2022-10-26,market
北投區,NA,114,春聚,125.0,56,44.99,225,34,1,11,2,29,0,22,22,NA,NA,NA,永陞建設,胡永復建築師事務所,炬曄營造,傳美廣告,RC,朝東南,機械式22個、無充電樁,1:0.76,住家用,第三種住宅區,暫無,NA,NA,NA,1幢，1棟，29戶住家,"地上11層,地下2層",台北市北投區石牌路二段317號,RC鋼筋混凝土,https://market.591.com.tw/5854576,54,2022-10-27,market
北投區,109,115,天母常玉,921.0,547,59.49,560,33.2,2,33,5,201,214,0,214,6,109建字第271號,6,立樺建設,郭旭原建築師事務所/許玄明建築師事務所,地樺營造,新聯陽機構-新聯昌廣告,SRC鋼骨鋼筋混凝土結構,朝西南,平面式214個,1:1.06,住商用,第三種商業區,待定,郭旭原建築師事務所,郭旭原建築師事務所,游雅清空間設計,1幢，2棟，161戶住家，14戶店面，26戶一般事務所,地上33層，地下5層,台北市北投區東華街一段550號,"林內廚具,INAX衛浴,住友制震器,YKK鋁門窗,6+12+6mm複層中空Low-E玻璃或6+6m複層玻璃,SILENTEK隔音墊.",https://newhouse.591.com.tw/128553/detail,82,2022-10-27,newhouse
北投區,108,112,維正里安,225.0,101,45.0,225,34.32,1,12,3,40,18,21,39,4,108建字第0045號,4,維正建設,卓培煙建築師事務所,東生營造,自售,RC鋼筋混凝土結構,朝南,平面式18個、機械式21個,1:0.98,住家用,第三種住宅區,120元/坪/月,HAD境觀設計耿美惠,HAD境觀設計耿美惠,和境設計-陳建能,1幢，1棟，40戶住家,地上12層，地下3層,台北市北投區立農街一段,RC鋼筋混凝土，廚具：德國LEICHT，衛浴：TOTO免治馬桶座，其他：樓板厚度18CM。,https://newhouse.591.com.tw/123586/detail,83,2022-10-26,newhouse
北投區,NA,113,昭揚天際,636.0,277,43.7,400,33.5,2,19,4,70,127,0,127,NA,NA,NA,昭揚建築-億揚建設,李天鐸、邱垂睿建築師事務所,華雄營造,創意家行銷,SRC,朝東南,平面式127個、無充電樁,1:1.76,住商用,第三之二種住宅區、第三種商業區（特）,暫無,李天鐸建築師事務所,李天鐸建築師事務所,李天鐸建築師事務所,2棟，68戶住家，2戶店面,"地上19層,地下4層",台北市北投區承德路七段138號,SRC鋼骨鋼筋混凝土。廚房：德國LEICHT、林內三機。衛浴：TOTO。五金：德國GROHE。,https://market.591.com.tw/53935,53,2022-10-26,market
