to,BR13 松山機場,BR12 中山國中,G16 BR11 南京復興,BL15 BR10 忠孝復興,R05 BR09 大安,BR08 科技大樓,BR07 六張犁,BR06 麟光,BR05 辛亥,BR04 萬芳醫院,BR03 萬芳社區,BR02 木柵,BR01 動物園,BR14 大直,BR15 劍南路,BR16 西湖,BR17 港墘,BR18 文德,BR19 內湖,BR20 大湖公園,BR21 葫洲,BR22 東湖,BR23 南港軟體園區,BL23 BR24 南港展覽館,G03A 小碧潭,G01 新店,G02 新店區公所,G03 七張,G04 Y07 大坪林,G05 景美,G06 萬隆,G07 公館,G08 台電大樓,G09 O05 古亭,G10 R08 中正紀念堂,G11 小南門,O04 頂溪,O03 永安市場,Y11 O02 景安,O01 南勢角,R09 台大醫院,BL12 R10 台北車站,G14 R11 中山,R12 雙連,O11 R13 民權西路,R14 圓山,R15 劍潭,R16 士林,R17 芝山,R18 明德,R19 石牌,R20 唭哩岸,R21 奇岩,R22 北投,R22A 新北投,R23 復興崗,R24 忠義,R25 關渡,R26 竹圍,R27 紅樹林,R28 淡水,BL01 頂埔,BL02 永寧,BL03 土城,BL04 海山,BL05 亞東醫院,BL06 府中,BL07 板橋,BL08 新埔,BL09 江子翠,BL10 龍山寺,BL11 G12 西門,BL13 善導寺,BL14 O07 忠孝新生,BL16 忠孝敦化,BL17 國父紀念館,BL18 市政府,BL19 永春,BL20 後山埤,BL21 昆陽,BL22 南港,R02 象山,R03 台北101/世貿,R04 信義安和,R06 大安森林公園,G13 北門,G17 台北小巨蛋,G18 南京三民,G19 松山,O19 輔大,O18 新莊,Y18 O17 頭前庄,O16 先嗇宮,O15 三重,O14 菜寮,O13 台北橋,O12 大橋頭,O10 中山國小,O09 行天宮,G15 O08 松江南京,R07 O06 東門,O54 蘆洲,O53 三民高中,O52 徐匯中學,O51 三和國中,O50 三重國小,O21 迴龍,O20 丹鳳,Y08 十四張,Y09 秀朗橋,Y10 景平,Y12 中和,Y13 橋和,Y14 中原,Y15 板新,Y16 板橋,Y17 新埔民生,Y19 幸福,Y20 新北產業園區
R25 關渡,43,40,34.0,38.0,39.0,45,48,49,52,54,56,57,59,46,48,50,52,54,55,57,59,61,59,53.0,54,52,50,48,46.0,44,42,40,38,36.0,32.0,36,45,47,49.0,51,30,29.0,27.0,26,24.0,22,20,18,16,14,13,10,9,7,12,4,2,0,3,6,9,59,55,53,51,48,46,45,42,41,37,34.0,34,34.0,39,41,43,45,46,49,51,45,43,41,38,32,36,38,41,44,42,40.0,37,35,33,31,28,28,30,32.0,36.0,39,37,35,33,31,50,47,51,54,56,58,60,57,55,52,48,47,50
R26 竹圍,46,43,37.0,41.0,42.0,48,51,52,55,57,59,60,62,49,51,53,55,56,58,60,62,64,62,56.0,57,55,52,51,49.0,47,45,42,41,39.0,35.0,38,48,50,52.0,54,33,32.0,30.0,28,27.0,25,23,21,19,17,15,13,12,10,15,7,5,3,0,3,6,62,58,56,54,51,49,48,45,44,40,37.0,37,37.0,42,44,46,48,49,52,54,48,46,44,40,35,39,41,44,47,44,42.0,40,37,36,34,31,31,33,35.0,39.0,42,40,38,36,34,53,49,54,57,59,61,63,60,58,54,51,50,53
R27 紅樹林,48,46,40.0,43.0,45.0,51,53,55,57,60,62,63,64,52,54,56,58,59,61,62,65,67,65,59.0,60,57,55,53,52.0,50,48,45,43,41.0,38.0,41,50,53,55.0,57,36,34.0,33.0,31,30.0,28,25,23,21,20,18,16,14,12,18,10,7,6,3,0,3,65,61,59,57,54,52,50,48,46,43,39.0,39,40.0,45,47,48,50,52,54,57,51,49,47,43,38,41,44,46,50,47,45.0,43,40,38,36,34,34,36,37.0,41.0,45,43,41,39,37,55,52,57,59,62,64,66,63,60,57,54,53,55
R28 淡水,52,49,43.0,47.0,48.0,54,57,58,61,63,65,66,68,55,57,59,61,63,64,66,68,70,68,62.0,63,61,58,57,55.0,53,51,49,47,45.0,41.0,45,54,56,58.0,60,39,38.0,36.0,34,33.0,31,29,27,25,23,21,19,18,16,21,13,11,9,6,3,0,68,64,62,60,57,55,54,51,50,46,43.0,43,43.0,48,50,52,54,55,58,60,54,52,50,46,41,45,47,50,53,50,48.0,46,43,42,40,37,37,39,41.0,45.0,48,46,44,42,40,59,55,60,63,65,67,69,66,64,60,57,56,59
Y07 大坪林,34,31,25.0,26.0,20.0,27,29,31,33,35,37,39,40,37,39,41,43,44,46,48,50,52,47,41.0,8,6,4,2,0.0,2,4,6,8,10.0,12.0,14,15,16,9.0,16,16,17.0,20.0,21,22.0,24,26,28,30,32,34,36,37,39,45,42,44,46,49,52,55,42,38,36,34,31,29,27,25,23,20,16.0,22,18.0,27,29,31,33,34,37,39,27,25,23,19,18,27,29,32,38,36,28.0,36,35,33,31,28,25,23,23.0,16.0,39,37,35,33,31,44,41,3,5,7,12,15,16,19,21,25,30,33
Y08 十四張,39,36,30.0,29.0,26.0,32,35,36,39,41,43,44,46,42,44,47,48,50,52,53,56,53,51,45.0,14,11,9,7,3.0,7,9,12,14,16.0,18.0,19,16,13,6.0,13,21,23.0,26.0,26,27.0,29,32,34,36,37,39,41,43,45,50,47,50,51,54,57,60,43,40,38,36,33,31,30,32,33,25,21.0,27,26.0,31,33,35,37,38,41,43,32,30,28,24,23,32,34,37,36,33,25.0,33,36,38,38,36,32,30,28.0,23.0,47,45,43,41,39,41,38,0,2,4,10,12,13,16,19,23,27,30
Y09 秀朗橋,41,39,32.0,27.0,26.0,32,34,36,39,41,43,44,46,45,47,49,50,52,54,55,53,51,49,43.0,16,13,11,9,5.0,10,12,14,16,17.0,20.0,22,13,11,4.0,11,23,25.0,28.0,28,32.0,32,34,36,38,40,41,43,45,47,53,50,52,54,57,59,63,41,38,36,34,31,29,27,29,31,27,24.0,27,24.0,29,31,32,34,36,38,41,32,30,28,24,26,34,37,39,33,31,23.0,31,34,35,36,33,30,28,26.0,21.0,45,42,40,39,36,39,36,2,0,2,7,10,11,13,16,20,25,28
Y10 景平,36,34,31.0,26.0,24.0,30,33,34,37,39,41,42,44,40,42,44,46,47,49,50,51,49,47,41.0,18,15,13,11,7.0,11,13,16,18,15.0,19.0,21,12,9,2.0,10,26,28.0,27.0,31,30.0,34,37,39,41,43,44,46,48,50,55,52,55,56,59,62,65,39,36,34,32,29,27,26,28,29,33,22.0,25,22.0,27,29,31,33,34,37,39,30,28,26,22,24,33,35,38,32,29,21.0,29,32,34,34,32,28,26,24.0,19.0,43,41,39,37,35,37,34,4,2,0,6,8,9,12,15,19,24,26
Y11 景安,29,26,24.0,18.0,17.0,23,25,27,29,32,34,35,36,32,34,37,38,40,41,43,43,42,40,34.0,19,17,15,13,9.0,13,15,13,11,8.0,11.0,13,4,2,0.0,2,19,20.0,19.0,24,23.0,27,29,31,33,35,37,39,40,42,48,45,47,49,52,55,58,37,34,32,30,27,25,26,24,22,19,15.0,18,15.0,20,22,23,25,27,29,31,23,21,19,15,17,26,28,31,30,27,19.0,27,31,29,27,24,21,19,17.0,12.0,35,33,31,29,27,35,32,6,4,2,4,6,7,10,13,17,22,24
Y12 中和,38,35,33.0,27.0,26.0,32,35,36,39,41,43,44,46,41,44,46,47,49,51,52,53,51,49,43.0,23,21,19,17,12.0,17,19,21,23,17.0,20.0,22,13,11,4.0,11,28,30.0,29.0,33,32.0,36,39,41,43,44,46,48,50,52,57,54,57,58,61,64,67,34,30,28,26,23,21,20,22,23,27,24.0,27,24.0,29,31,33,34,36,38,41,32,30,28,24,26,35,37,40,26,23,16.0,24,26,28,30,34,30,28,26.0,21.0,45,42,40,39,36,32,28,10,7,6,0,2,4,6,9,13,18,21
Y13 橋和,40,38,35.0,30.0,28.0,34,37,38,41,43,45,46,48,44,46,48,49,51,53,54,55,53,51,45.0,25,23,21,19,15.0,19,21,24,25,19.0,23.0,25,16,13,6.0,13,30,32.0,31.0,35,34.0,38,41,43,45,47,48,50,52,54,59,56,59,60,63,66,69,32,28,26,24,21,19,18,20,21,25,27.0,29,26.0,31,33,35,37,38,41,43,34,32,30,26,28,37,39,42,24,21,14.0,21,24,26,28,31,32,30,28.0,23.0,42,40,38,36,34,29,26,12,10,8,2,0,2,4,7,11,16,18
Y14 中原,45,42,36.0,34.0,30.0,36,38,40,42,45,47,48,49,48,50,52,54,55,57,59,59,57,56,49.0,27,25,22,21,16.0,21,23,25,27,21.0,24.0,26,17,15,7.0,15,32,28.0,31.0,35,31.0,35,37,39,41,43,45,47,48,50,56,53,55,57,60,63,66,30,27,25,22,20,17,16,18,19,23,25.0,30,28.0,35,37,39,41,42,45,47,36,34,32,28,29,38,40,43,22,20,12.0,20,23,24,26,29,34,32,30.0,25.0,41,38,36,35,32,28,25,13,11,9,4,2,0,2,5,9,14,17
Y15 板新,42,40,33.0,31.0,32.0,39,42,43,46,48,50,51,53,46,48,50,51,53,55,56,57,55,53,47.0,29,27,25,23,19.0,23,25,27,29,23.0,27.0,27,19,17,10.0,17,31,26.0,29.0,32,28.0,33,35,37,39,41,42,44,46,48,54,51,53,55,58,60,64,28,24,22,20,17,15,14,16,17,21,23.0,28,29.0,33,35,37,39,40,42,45,38,36,34,30,27,35,38,40,20,17,10.0,17,20,22,24,27,30,32,32.0,27.0,38,36,34,32,30,25,22,16,13,12,6,4,2,0,3,7,12,14
Y16 板橋,40,37,31.0,29.0,35.0,37,40,41,44,46,48,49,51,43,46,48,49,51,53,54,55,53,51,45.0,32,30,28,26,21.0,26,28,30,32,26.0,29.0,24,22,20,13.0,20,29,24.0,27.0,30,25.0,30,32,34,36,38,39,41,43,45,50,48,50,52,54,57,60,25,22,20,18,15,13,11,13,15,19,21.0,25,27.0,31,33,34,36,38,40,43,41,39,37,33,24,33,35,38,17,14,6.0,14,17,19,21,23,27,29,31.0,30.0,35,33,31,29,27,22,19,19,16,15,9,7,5,3,0,4,9,11
Y17 新埔民生,36,33,27.0,25.0,31.0,33,35,37,39,42,44,45,46,39,41,44,45,47,48,50,50,49,47,41.0,36,34,31,30,25.0,30,32,34,36,30.0,22.0,20,26,24,17.0,24,24,19.0,23.0,26,21.0,26,28,30,32,34,35,38,39,41,47,44,46,48,51,54,57,26,22,20,18,15,13,11,9,11,14,17.0,21,23.0,27,28,30,32,34,36,38,39,37,35,32,20,29,31,34,13,10,3.0,11,13,15,17,20,23,25,27.0,34.0,32,29,27,26,23,19,15,23,20,19,13,11,9,7,4,0,5,8
Y18 頭前庄,31,28,22.0,24.0,29.0,32,35,36,39,41,43,44,46,34,37,39,40,42,44,45,48,48,46,40.0,39,36,34,32,28.0,33,35,33,31,28.0,24.0,29,32,27,19.0,27,22,20.0,19.0,17,13.0,18,20,22,24,26,27,29,31,33,38,36,38,40,42,45,48,28,24,22,20,17,15,17,12,13,17,19.0,24,21.0,26,28,30,32,33,35,38,35,33,31,27,25,24,26,29,5,2,0.0,2,5,7,9,11,15,17,19.0,24.0,23,21,19,17,15,10,7,25,23,21,16,14,12,10,6,3,2,5
Y19 幸福,40,38,30.0,30.0,36.0,37,40,41,44,46,48,49,51,44,46,48,50,51,53,55,55,53,51,45.0,41,39,36,35,30.0,35,37,39,41,35.0,26.0,25,31,29,22.0,29,29,24.0,26.0,25,21.0,25,27,29,31,33,35,37,38,40,46,43,45,47,50,53,56,30,27,25,22,20,17,20,14,15,19,21.0,26,27.0,31,33,35,37,38,41,43,42,40,38,35,25,32,34,37,12,10,2.0,10,13,14,17,19,22,25,26.0,31.0,31,28,27,25,23,18,15,27,25,24,18,16,14,12,9,5,0,3
Y20 新北產業園區,43,40,32.0,32.0,38.0,40,42,44,47,49,51,52,54,46,48,51,52,54,56,57,58,56,54,48.0,44,41,39,37,33.0,37,39,42,44,37.0,29.0,27,34,32,24.0,32,32,27.0,29.0,27,23.0,28,30,32,34,36,37,39,41,43,49,46,48,50,53,55,59,33,29,27,25,22,20,22,17,18,22,24.0,28,30.0,34,36,37,39,41,43,46,45,43,41,37,27,34,37,39,15,12,5.0,13,15,17,19,22,25,27,29.0,34.0,33,31,29,27,25,20,17,30,28,26,21,18,17,14,11,8,3,0
