to,BR13 松山機場,BR12 中山國中,G16 BR11 南京復興,BL15 BR10 忠孝復興,R05 BR09 大安,BR08 科技大樓,BR07 六張犁,BR06 麟光,BR05 辛亥,BR04 萬芳醫院,BR03 萬芳社區,BR02 木柵,BR01 動物園,BR14 大直,BR15 劍南路,BR16 西湖,BR17 港墘,BR18 文德,BR19 內湖,BR20 大湖公園,BR21 葫洲,BR22 東湖,BR23 南港軟體園區,BL23 BR24 南港展覽館,G03A 小碧潭,G01 新店,G02 新店區公所,G03 七張,G04 Y07 大坪林,G05 景美,G06 萬隆,G07 公館,G08 台電大樓,G09 O05 古亭,G10 R08 中正紀念堂,G11 小南門,O04 頂溪,O03 永安市場,Y11 O02 景安,O01 南勢角,R09 台大醫院,BL12 R10 台北車站,G14 R11 中山,R12 雙連,O11 R13 民權西路,R14 圓山,R15 劍潭,R16 士林,R17 芝山,R18 明德,R19 石牌,R20 唭哩岸,R21 奇岩,R22 北投,R22A 新北投,R23 復興崗,R24 忠義,R25 關渡,R26 竹圍,R27 紅樹林,R28 淡水,BL01 頂埔,BL02 永寧,BL03 土城,BL04 海山,BL05 亞東醫院,BL06 府中,BL07 板橋,BL08 新埔,BL09 江子翠,BL10 龍山寺,BL11 G12 西門,BL13 善導寺,BL14 O07 忠孝新生,BL16 忠孝敦化,BL17 國父紀念館,BL18 市政府,BL19 永春,BL20 後山埤,BL21 昆陽,BL22 南港,R02 象山,R03 台北101/世貿,R04 信義安和,R06 大安森林公園,G13 北門,G17 台北小巨蛋,G18 南京三民,G19 松山,O19 輔大,O18 新莊,Y18 O17 頭前庄,O16 先嗇宮,O15 三重,O14 菜寮,O13 台北橋,O12 大橋頭,O10 中山國小,O09 行天宮,G15 O08 松江南京,R07 O06 東門,O54 蘆洲,O53 三民高中,O52 徐匯中學,O51 三和國中,O50 三重國小,O21 迴龍,O20 丹鳳,Y08 十四張,Y09 秀朗橋,Y10 景平,Y12 中和,Y13 橋和,Y14 中原,Y15 板新,Y16 板橋,Y17 新埔民生,Y19 幸福,Y20 新北產業園區
BL11 西門,18,15,9.0,8.0,12.0,16,18,20,23,25,27,28,30,21,23,25,27,28,30,32,34,32,30,24.0,24,22,19,18,16.0,14,12,9,8,6.0,4.0,2,11,13,15.0,17,8,2.0,4.0,8,10.0,12,14,16,18,20,21,24,25,27,33,30,32,34,37,39,43,24,21,19,17,14,12,10,8,6,2,0.0,4,6.0,10,12,13,15,17,19,21,18,16,14,10,2,11,13,16,32,29,19.0,25,22,20,18,16,12,10,7.0,9.0,27,24,22,21,18,37,34,21,24,22,24,27,25,23,21,17,21,24
BL12 台北車站,16,14,9.0,6.0,10.0,13,16,17,20,22,24,25,27,20,22,24,26,27,29,30,31,29,27,21.0,25,23,21,19,17.0,15,13,11,9,7.0,4.0,6,16,18,20.0,22,2,0.0,2.0,3,5.0,7,9,11,13,15,16,18,20,22,27,25,27,29,32,34,38,27,23,21,19,16,14,13,10,9,5,2.0,2,3.0,7,9,11,13,14,17,19,17,15,13,9,6,10,13,15,25,22,20.0,18,15,13,11,9,9,9,6.0,7.0,20,18,16,14,12,30,27,23,25,28,30,32,28,26,24,19,24,27
BL13 善導寺,15,12,10.0,4.0,10.0,12,14,16,18,21,23,24,25,18,20,22,24,26,27,29,29,28,26,20.0,30,27,25,23,22.0,20,18,15,13,10.0,9.0,8,14,16,18.0,20,7,2.0,7.0,8,10.0,12,14,16,18,20,21,23,25,27,33,30,32,34,37,39,43,29,25,23,21,18,16,14,12,10,7,4.0,0,2.0,6,7,9,11,13,15,17,17,15,13,9,8,11,13,16,29,26,24.0,22,19,17,15,13,9,7,6.0,6.0,24,22,20,18,16,34,31,27,27,25,27,29,30,28,25,21,26,28
BL14 忠孝新生,13,10,6.0,2.0,8.0,10,12,14,16,18,21,22,23,16,18,20,22,24,25,27,27,26,24,18.0,27,24,22,20,18.0,16,15,12,10,7.0,8.0,9,10,13,15.0,17,8,3.0,6.0,10,8.0,12,15,17,19,20,22,24,26,28,33,30,33,34,37,40,43,30,27,25,23,20,18,16,14,12,8,6.0,2,0.0,4,5,7,9,11,13,15,14,12,10,6,8,8,10,13,26,23,21.0,19,16,14,12,10,6,4,2.0,3.0,21,18,16,15,12,31,28,26,24,22,24,26,28,29,27,23,27,30
BL15 忠孝復興,6,4,2.0,0.0,2.0,3,6,7,10,12,14,15,17,10,12,14,15,17,19,20,23,25,22,15.0,34,31,29,27,26.0,24,22,19,17,10.0,13.0,12,14,16,18.0,20,11,6.0,11.0,12,11.0,16,18,20,22,24,25,27,29,31,37,34,36,38,41,43,47,33,29,27,25,22,20,18,16,14,11,8.0,4,2.0,2,3,5,7,9,11,13,12,10,8,8,12,8,10,13,29,26,24.0,22,19,18,16,13,10,7,6.0,6.0,24,22,20,18,16,35,31,29,27,26,27,30,34,31,29,25,30,32
BL16 忠孝敦化,12,10,8.0,2.0,8.0,9,12,13,16,18,20,21,23,16,18,20,22,23,25,26,24,22,20,14.0,36,33,31,29,27.0,25,23,21,19,12.0,14.0,13,16,18,20.0,22,12,7.0,12.0,14,13.0,17,20,22,24,25,27,29,31,33,38,35,38,39,42,45,48,34,31,29,27,24,22,20,18,16,12,10.0,6,4.0,0,2,3,5,7,9,12,18,16,14,14,13,14,17,19,31,28,26.0,24,21,19,17,15,11,9,7.0,8.0,26,24,22,20,18,36,33,31,29,27,29,31,35,33,31,27,31,34
BL17 國父紀念館,14,11,10.0,3.0,9.0,11,13,15,18,20,22,23,25,17,19,22,23,25,26,24,22,20,18,12.0,37,35,33,31,29.0,27,25,23,21,14.0,16.0,15,17,20,22.0,24,14,9.0,14.0,16,15.0,19,21,23,25,27,29,31,32,34,40,37,39,41,44,47,50,36,32,30,28,25,23,22,19,18,14,12.0,7,5.0,2,0,2,4,5,8,10,20,18,16,16,15,16,18,21,33,30,28.0,26,23,21,19,16,13,11,9.0,10.0,28,25,23,22,19,38,35,33,31,29,31,33,37,35,33,28,33,36
BL18 市政府,16,13,11.0,5.0,11.0,13,15,17,19,21,24,25,26,19,21,23,25,26,24,23,20,19,17,10.0,39,37,34,33,31.0,29,27,24,23,15.0,18.0,17,19,21,23.0,25,16,11.0,16.0,17,16.0,21,23,25,27,29,30,33,34,36,42,39,41,43,46,48,52,38,34,32,30,27,25,23,21,19,16,13.0,9,7.0,3,2,0,2,4,6,8,22,20,18,17,17,18,20,23,34,32,30.0,27,25,23,21,18,15,13,11.0,11.0,29,27,25,23,21,40,37,35,32,31,33,35,39,37,34,30,35,37
BL19 永春,18,15,13.0,7.0,13.0,15,17,19,21,23,25,27,28,21,23,25,26,24,22,21,18,17,15,9.0,41,38,36,34,33.0,31,29,26,24,17.0,20.0,19,21,23,25.0,27,18,13.0,18.0,19,18.0,23,25,27,29,31,32,34,36,38,44,41,43,45,48,50,54,40,36,34,32,29,27,25,23,21,18,15.0,11,9.0,5,4,2,0,2,4,6,24,22,20,19,19,20,22,25,36,33,32.0,29,27,25,23,20,17,15,13.0,13.0,31,29,27,25,23,42,38,37,34,33,34,37,41,39,36,32,37,39
BL20 後山埤,19,17,15.0,9.0,15.0,16,19,20,23,25,27,28,30,23,25,25,24,22,21,19,17,15,13,7.0,43,40,38,36,34.0,32,30,28,26,19.0,21.0,20,23,25,27.0,29,19,14.0,19.0,21,20.0,24,27,29,31,32,34,36,38,40,45,42,45,46,49,52,55,41,38,36,34,31,29,27,25,23,19,17.0,13,11.0,7,5,4,2,0,2,5,25,23,21,21,20,21,24,26,38,35,33.0,31,28,26,24,22,18,16,14.0,15.0,33,31,29,27,25,43,40,38,36,34,36,38,42,40,38,34,38,41
BL21 昆陽,22,19,17.0,11.0,17.0,19,21,23,25,27,29,31,32,25,26,23,22,20,18,17,14,13,11,5.0,45,42,40,38,37.0,35,33,30,28,21.0,24.0,23,25,27,29.0,31,22,17.0,22.0,23,22.0,27,29,31,33,35,36,38,40,42,48,45,47,49,52,54,58,44,40,38,36,33,31,29,27,25,22,19.0,15,13.0,9,8,6,4,2,0,2,27,25,23,23,23,24,26,29,40,37,35.0,33,30,29,27,24,21,19,17.0,17.0,35,33,31,29,27,46,42,41,38,37,38,41,45,42,40,36,41,43
BL22 南港,24,21,20.0,13.0,19.0,21,23,25,27,30,32,33,34,25,23,21,20,18,16,15,12,10,9,2.0,47,45,42,41,39.0,37,35,32,31,24.0,26.0,25,27,29,31.0,33,24,19.0,24.0,25,25.0,29,31,33,35,37,38,41,42,44,50,47,49,51,54,57,60,46,42,40,38,35,33,32,29,28,24,21.0,17,15.0,12,10,8,6,5,2,0,30,28,26,25,25,26,28,31,42,40,38.0,35,33,31,29,26,23,21,19.0,20.0,37,35,33,31,29,48,45,43,41,39,41,43,47,45,43,38,43,46
BL23 南港展覽館,22,25,22.0,15.0,21.0,23,26,27,30,32,34,35,37,19,16,14,13,11,9,8,5,4,2,0.0,49,47,45,43,41.0,39,37,35,33,26.0,28.0,27,29,32,34.0,36,26,21.0,26.0,28,27.0,31,33,35,37,39,41,43,45,46,52,49,51,53,56,59,62,48,45,43,40,38,35,34,32,30,26,24.0,20,18.0,14,12,10,9,7,5,2,32,30,28,28,27,28,30,33,45,42,40.0,38,35,33,31,29,25,23,21.0,22.0,40,37,35,34,32,50,47,45,43,41,43,45,49,47,45,41,45,48
BR01 動物園,23,21,19.0,17.0,15.0,14,11,10,7,5,3,2,0,27,29,31,33,34,36,37,40,42,43,37.0,48,46,44,42,40.0,38,36,34,32,29.0,27.0,30,32,34,36.0,38,29,27.0,28.0,33,35.0,37,39,41,43,45,46,49,50,52,58,55,57,59,62,64,68,54,50,48,46,43,41,40,37,36,32,30.0,25,23.0,23,25,26,28,30,32,34,26,24,22,21,30,25,28,30,50,48,46.0,44,41,39,37,34,31,29,26.0,23.0,45,43,41,39,37,56,53,46,46,44,46,48,49,53,51,46,51,54
BR02 木柵,22,19,17.0,15.0,14.0,12,10,8,6,3,1,0,2,25,27,29,31,33,34,36,38,40,42,35.0,47,44,42,40,39.0,37,35,32,30,27.0,25.0,28,31,33,35.0,37,27,25.0,26.0,32,33.0,35,38,40,42,43,45,47,49,51,56,53,56,57,60,63,66,52,49,47,45,42,40,38,36,34,30,28.0,24,22.0,21,23,25,27,28,31,33,24,22,20,20,29,24,26,29,49,46,44.0,42,39,37,35,33,29,27,24.0,22.0,44,42,40,38,36,54,51,44,44,42,44,46,48,51,49,45,49,52
BR03 萬芳社區,21,18,16.0,14.0,12.0,11,8,7,4,2,0,1,3,24,26,28,30,31,33,35,37,39,41,34.0,46,43,41,39,37.0,35,34,31,29,26.0,24.0,27,29,32,34.0,36,26,24.0,25.0,31,32.0,34,36,38,40,42,44,46,47,49,55,52,54,56,59,62,65,51,48,46,43,41,38,37,35,33,29,27.0,23,21.0,20,22,24,25,27,29,32,23,21,19,19,28,23,25,28,48,45,43.0,41,38,36,34,32,28,26,23.0,20.0,43,40,39,37,35,53,50,43,43,41,43,45,47,50,48,44,48,51
BR04 萬芳醫院,19,16,14.0,12.0,10.0,9,6,5,2,0,2,3,5,22,24,26,28,29,31,33,35,37,39,32.0,44,41,39,37,35.0,33,31,29,27,24.0,22.0,25,27,30,32.0,34,24,22.0,23.0,29,30.0,32,34,36,38,40,42,44,45,47,53,50,52,54,57,60,63,49,46,44,41,39,36,35,33,31,27,25.0,21,18.0,18,20,21,23,25,27,30,21,19,17,17,26,21,23,25,46,43,41.0,39,36,34,32,30,26,24,21.0,18.0,41,38,36,35,32,51,48,41,41,39,41,43,45,48,46,42,46,49
BR05 辛亥,16,14,12.0,10.0,8.0,7,4,3,0,2,4,6,7,20,22,24,26,27,29,30,33,35,36,30.0,41,39,37,35,33.0,31,29,27,25,22.0,20.0,23,25,27,29.0,31,22,20.0,21.0,26,28.0,30,32,34,36,38,39,42,43,45,51,48,50,52,55,57,61,47,43,41,39,36,34,33,30,29,25,23.0,18,16.0,16,18,19,21,23,25,27,19,17,15,14,23,18,21,23,43,41,39.0,37,34,32,30,27,24,22,19.0,16.0,39,36,34,33,30,49,46,39,39,37,39,41,42,46,44,39,44,47
BR06 麟光,14,11,10.0,7.0,6.0,4,2,0,3,5,7,8,10,17,19,22,23,25,26,28,30,32,34,27.0,39,36,34,32,31.0,29,27,24,22,19.0,17.0,20,23,25,27.0,29,19,17.0,18.0,24,25.0,27,30,32,34,35,37,39,41,43,48,45,48,49,52,55,58,44,41,39,37,34,32,30,28,26,22,20.0,16,14.0,13,15,17,19,20,23,25,16,14,12,12,21,16,18,21,41,38,36.0,34,31,29,27,25,21,19,16.0,14.0,36,34,32,30,28,46,43,36,36,34,36,38,40,43,41,37,41,44
BR07 六張犁,12,9,8.0,6.0,4.0,3,0,2,4,6,8,10,11,16,18,20,21,23,25,26,29,31,32,26.0,37,35,33,31,29.0,27,25,23,21,17.0,15.0,19,21,23,25.0,27,18,16.0,17.0,22,24.0,26,28,30,32,34,35,37,39,41,47,44,46,48,51,53,57,43,39,37,35,32,30,29,26,25,21,18.0,14,12.0,12,13,15,17,19,21,23,15,13,11,10,19,14,16,19,39,37,35.0,32,30,28,26,23,20,18,14.0,12.0,34,32,30,28,26,45,42,35,34,33,35,37,38,42,40,35,40,42
BR08 科技大樓,10,7,5.0,3.0,2.0,0,3,4,7,9,11,12,14,13,15,17,19,21,22,24,26,28,30,23.0,35,32,30,28,27.0,25,23,20,18,15.0,13.0,16,19,21,23.0,25,15,13.0,14.0,20,21.0,23,26,28,30,31,33,35,37,39,44,41,44,45,48,51,54,40,37,35,33,30,28,26,24,22,18,16.0,12,10.0,9,11,13,15,16,19,21,12,10,8,8,17,12,14,17,37,34,32.0,30,27,25,23,21,17,15,12.0,10.0,32,30,28,26,24,42,39,32,32,30,32,34,36,39,37,33,37,40
BR09 大安,8,5,4.0,2.0,0.0,2,4,6,8,10,12,14,15,11,14,16,17,19,21,22,25,26,28,21.0,29,26,24,22,20.0,19,17,14,12,9.0,7.0,10,13,15,17.0,19,9,10.0,12.0,14,15.0,17,19,21,23,25,27,29,31,32,38,35,37,39,42,45,48,39,35,33,31,28,26,24,22,20,17,12.0,10,8.0,8,9,11,13,15,17,19,6,4,2,2,14,10,12,15,33,31,29.0,27,24,22,20,17,14,12,10.0,3.0,28,26,24,22,20,39,36,26,26,24,26,28,30,32,35,31,36,38
BR10 忠孝復興,6,4,2.0,0.0,2.0,3,6,7,10,12,14,15,17,10,12,14,15,17,19,20,23,25,22,15.0,34,31,29,27,26.0,24,22,19,17,10.0,13.0,12,14,16,18.0,20,11,6.0,11.0,12,11.0,16,18,20,22,24,25,27,29,31,37,34,36,38,41,43,47,33,29,27,25,22,20,18,16,14,11,8.0,4,2.0,2,3,5,7,9,11,13,12,10,8,8,12,8,10,13,29,26,24.0,22,19,18,16,13,10,7,6.0,6.0,24,22,20,18,16,35,31,29,27,26,27,30,34,31,29,25,30,32
BR11 南京復興,4,2,0.0,2.0,4.0,5,8,10,12,14,16,17,19,8,10,12,14,15,17,18,21,23,24,22.0,33,31,28,27,25.0,23,21,18,17,15.0,12.0,11,20,22,24.0,26,10,9.0,4.0,8,9.0,12,14,16,18,20,21,24,25,27,33,30,32,34,37,40,43,35,31,29,27,24,22,20,18,16,13,9.0,10,6.0,8,10,11,13,15,17,20,14,12,10,10,7,2,4,7,27,24,22.0,20,17,15,13,11,7,5,2.0,9.0,22,20,18,16,14,32,29,30,32,31,33,35,36,33,31,27,30,32
BR12 中山國中,3,0,2.0,4.0,5.0,7,9,11,14,16,18,19,21,6,8,11,12,14,15,17,19,21,23,25.0,39,37,34,33,31.0,29,27,24,23,21.0,17.0,17,22,24,26.0,28,19,14.0,10.0,15,15.0,18,20,22,24,26,28,30,31,33,39,36,38,40,43,46,49,41,37,35,33,30,28,26,24,22,19,15.0,12,10.0,10,11,13,15,17,19,21,16,14,12,12,13,8,10,13,33,30,28.0,26,23,22,20,17,14,11,8.0,13.0,28,26,24,22,20,39,35,36,39,34,35,38,42,40,37,33,38,40
BR13 松山機場,0,3,4.0,6.0,8.0,10,12,14,16,19,21,22,23,3,5,8,9,11,13,14,17,18,20,22.0,42,39,37,35,34.0,32,30,27,25,23.0,20.0,20,25,27,29.0,31,22,16.0,13.0,17,18.0,21,23,25,27,29,30,32,34,36,42,39,41,43,46,48,52,43,40,38,36,33,31,29,27,25,21,18.0,15,13.0,12,14,16,18,19,22,24,19,17,15,14,16,11,13,16,36,33,31.0,29,26,24,22,20,16,14,11.0,16.0,31,29,27,25,23,41,38,39,41,36,38,40,45,42,40,36,40,43
BR14 大直,3,6,8.0,10.0,11.0,13,16,17,20,22,24,25,27,0,2,4,6,8,9,11,13,15,17,19.0,45,43,40,39,37.0,35,33,30,29,27.0,23.0,23,28,30,32.0,34,25,20.0,17.0,21,21.0,24,26,28,30,32,34,36,37,39,45,42,44,46,49,52,55,47,43,41,39,36,34,32,30,28,25,21.0,18,16.0,16,17,19,21,23,25,25,22,20,18,18,19,14,16,19,39,36,34.0,32,29,28,26,23,20,17,14.0,19.0,34,32,30,28,26,45,41,42,45,40,41,44,48,46,43,39,44,46
BR15 劍南路,5,8,10.0,12.0,14.0,15,18,19,22,24,26,27,29,2,0,2,4,5,7,9,11,13,15,16.0,47,45,43,41,39.0,37,35,33,31,29.0,25.0,25,30,32,34.0,36,27,22.0,19.0,23,23.0,26,29,31,33,34,36,38,40,41,47,44,46,48,51,54,57,49,45,43,41,38,36,35,32,31,27,23.0,20,18.0,18,19,21,23,25,26,23,24,22,20,20,21,16,18,21,41,39,37.0,34,32,30,28,25,22,20,16.0,21.0,36,34,32,30,28,47,44,44,47,42,44,46,50,48,46,41,46,48
BR16 西湖,8,11,12.0,14.0,16.0,17,20,22,24,26,28,29,31,4,2,0,2,3,5,7,9,11,12,14.0,49,47,45,43,41.0,39,37,35,33,31.0,27.0,27,32,35,37.0,39,29,24.0,21.0,25,26.0,28,31,33,35,37,38,40,42,44,49,46,49,50,53,56,59,51,48,46,43,41,38,37,35,33,29,25.0,22,20.0,20,22,23,25,25,23,21,26,24,22,22,23,18,21,23,44,41,39.0,37,34,32,30,27,24,22,19.0,24.0,39,36,34,33,30,49,46,47,49,44,46,48,52,50,48,44,48,51
BR17 港墘,9,12,14.0,15.0,17.0,19,21,23,26,28,30,31,33,6,4,2,0,2,3,5,7,9,11,13.0,51,49,46,45,43.0,41,39,36,35,33.0,29.0,29,34,36,38.0,40,31,26.0,22.0,26,27.0,30,32,34,36,38,40,42,43,45,51,48,50,52,55,58,61,53,49,47,45,42,40,38,36,34,31,27.0,24,22.0,22,23,25,26,24,22,20,28,26,24,24,25,20,22,25,45,42,40.0,38,35,34,31,29,25,23,20.0,25.0,40,38,36,34,32,51,47,48,50,46,47,49,54,51,49,45,50,52
BR18 文德,11,14,15.0,17.0,19.0,21,23,25,27,29,31,33,34,8,5,3,2,0,2,3,6,8,9,11.0,53,50,48,46,44.0,42,41,38,36,34.0,30.0,30,36,38,40.0,42,32,27.0,24.0,28,29.0,32,34,36,38,40,41,43,45,47,52,50,52,54,56,59,63,54,51,49,46,44,42,40,38,36,32,28.0,26,24.0,23,25,26,24,22,20,18,29,27,25,25,27,22,24,26,47,44,42.0,40,37,35,33,31,27,25,22.0,27.0,42,39,37,36,33,52,49,50,52,47,49,51,55,53,51,47,51,54
BR19 內湖,13,15,17.0,19.0,21.0,22,25,26,29,31,33,34,36,9,7,5,3,2,0,2,4,6,8,9.0,54,52,50,48,46.0,44,42,40,38,36.0,32.0,32,37,39,41.0,44,34,29.0,26.0,30,31.0,33,36,38,40,41,43,45,47,49,54,51,54,55,58,61,64,56,52,50,48,45,43,42,39,38,34,30.0,27,25.0,25,26,24,22,21,18,16,31,29,27,27,28,23,25,28,48,46,44.0,41,39,37,35,32,29,27,23.0,29.0,43,41,39,37,35,54,51,52,54,49,51,53,57,55,53,48,53,56
BR20 大湖公園,14,17,18.0,20.0,22.0,24,26,28,30,33,35,36,37,11,9,7,5,3,2,0,3,4,6,8.0,56,54,51,49,48.0,46,44,41,39,38.0,34.0,34,39,41,43.0,45,36,30.0,27.0,31,32.0,35,37,39,41,43,44,47,48,50,56,53,55,57,60,62,66,57,54,52,50,47,45,43,41,39,36,32.0,29,27.0,26,24,23,21,19,17,15,33,31,29,29,30,25,27,30,50,47,45.0,43,40,38,36,34,30,28,25.0,30.0,45,43,41,39,37,55,52,53,55,50,52,54,59,56,54,50,55,57
BR21 葫洲,17,19,21.0,23.0,25.0,26,29,30,33,35,37,38,40,13,11,9,7,6,4,3,0,2,4,5.0,58,56,54,52,50.0,48,46,44,42,36.0,36.0,36,39,42,43.0,46,38,31.0,30.0,34,35.0,37,40,42,44,45,47,49,51,53,58,55,58,59,62,65,68,58,54,52,50,47,45,44,41,40,36,34.0,29,27.0,24,22,20,18,17,14,12,35,33,31,31,32,27,29,32,52,50,48.0,45,43,41,39,36,33,31,27.0,33.0,47,45,43,41,39,58,55,56,53,51,53,55,59,57,55,50,55,58
BR22 東湖,18,21,23.0,25.0,26.0,28,31,32,35,37,39,40,42,15,13,11,9,8,6,4,2,0,2,4.0,60,55,53,51,52.0,47,45,43,41,34.0,38.0,35,38,40,42.0,44,34,29.0,32.0,36,35.0,39,41,43,45,47,49,51,52,54,60,57,59,61,64,67,70,56,53,51,49,46,44,42,40,38,34,32.0,28,26.0,22,20,19,17,15,13,10,37,35,33,33,34,29,31,34,53,50,48.0,46,43,41,39,37,33,31,29.0,30.0,48,46,44,42,40,58,55,53,51,49,51,53,57,55,53,49,53,56
BR23 南港軟體園區,20,23,24.0,22.0,28.0,30,32,34,36,39,41,42,43,17,15,12,11,9,8,6,4,2,0,2.0,56,53,51,49,47.0,45,44,41,39,32.0,34.0,33,36,38,40.0,42,32,27.0,33.0,34,33.0,37,40,42,44,46,47,49,51,53,58,55,58,59,62,65,68,54,51,49,47,44,42,40,38,36,32,30.0,26,24.0,20,18,17,15,13,11,9,39,37,35,34,36,31,33,36,51,48,46.0,44,41,39,37,35,31,29,31.0,28.0,46,44,42,40,38,56,53,51,49,47,49,51,56,53,51,47,51,54
BR24 南港展覽館,22,25,22.0,15.0,21.0,23,26,27,30,32,34,35,37,19,16,14,13,11,9,8,5,4,2,0.0,49,47,45,43,41.0,39,37,35,33,26.0,28.0,27,29,32,34.0,36,26,21.0,26.0,28,27.0,31,33,35,37,39,41,43,45,46,52,49,51,53,56,59,62,48,45,43,40,38,35,34,32,30,26,24.0,20,18.0,14,12,10,9,7,5,2,32,30,28,28,27,28,30,33,45,42,40.0,38,35,33,31,29,25,23,21.0,22.0,40,37,35,34,32,50,47,45,43,41,43,45,49,47,45,41,45,48
G01 新店,39,37,31.0,31.0,26.0,32,35,36,39,41,43,44,46,43,45,47,49,50,52,54,56,58,53,47.0,10,0,2,4,6.0,8,10,12,14,16.0,18.0,20,21,23,17.0,27,22,23.0,26.0,26,28.0,30,32,34,36,38,39,41,43,45,51,48,50,52,55,57,61,47,44,42,40,37,35,33,31,29,25,22.0,27,24.0,33,35,37,38,40,42,45,32,30,28,25,24,32,35,37,50,47,36.0,43,40,38,36,34,30,28,28.0,21.0,45,43,41,39,37,55,52,11,13,15,21,23,25,27,30,34,39,41
G02 新店區公所,37,34,28.0,29.0,24.0,30,33,34,37,39,41,42,44,40,43,45,46,48,50,51,54,55,51,45.0,8,2,0,2,4.0,6,7,10,12,14.0,16.0,18,19,21,15.0,25,19,21.0,24.0,24,25.0,28,30,32,34,36,37,39,41,43,48,45,48,50,52,55,58,45,42,40,37,35,32,31,29,27,23,19.0,25,22.0,31,33,34,36,38,40,42,30,28,26,22,21,30,32,35,48,45,34.0,41,38,36,34,32,28,26,26.0,19.0,43,41,39,37,35,53,50,9,11,13,19,21,22,25,28,31,36,39
G03 七張,35,33,27.0,27.0,22.0,28,31,32,35,37,39,40,42,39,41,43,45,46,48,49,52,54,49,43.0,4,4,2,0,2.0,4,6,8,10,12.0,14.0,16,17,19,13.0,23,17,19.0,22.0,22,24.0,26,28,30,32,34,35,37,39,41,47,44,46,48,51,53,57,43,40,38,36,33,31,29,27,25,21,18.0,23,20.0,29,31,33,34,36,38,41,28,26,24,21,20,28,31,33,46,43,32.0,39,36,34,32,30,26,24,24.0,17.0,41,39,37,35,33,51,48,7,9,11,17,19,21,23,26,30,35,37
G03A 小碧潭,42,39,33.0,34.0,29.0,35,37,39,41,44,46,47,48,45,47,49,51,53,54,56,58,60,56,49.0,0,10,8,4,8.0,10,12,15,16,18.0,20.0,22,23,26,19.0,30,24,25.0,28.0,29,30.0,32,34,36,38,40,42,44,45,47,53,50,52,54,57,60,63,50,46,44,42,39,37,36,33,32,28,24.0,30,27.0,36,37,39,41,43,45,47,35,33,31,27,26,35,37,40,52,50,39.0,45,43,41,39,36,33,31,31.0,24.0,47,45,43,41,39,58,55,14,16,18,23,25,27,29,32,36,41,44
G04 大坪林,34,31,25.0,26.0,20.0,27,29,31,33,35,37,39,40,37,39,41,43,44,46,48,50,52,47,41.0,8,6,4,2,0.0,2,4,6,8,10.0,12.0,14,15,16,9.0,16,16,17.0,20.0,21,22.0,24,26,28,30,32,34,36,37,39,45,42,44,46,49,52,55,42,38,36,34,31,29,27,25,23,20,16.0,22,18.0,27,29,31,33,34,37,39,27,25,23,19,18,27,29,32,38,36,28.0,36,35,33,31,28,25,23,23.0,16.0,39,37,35,33,31,44,41,3,5,7,12,15,16,19,21,25,30,33
G05 景美,32,29,23.0,24.0,19.0,25,27,29,31,33,35,37,38,35,37,39,41,42,44,46,48,50,45,39.0,10,8,6,4,2.0,0,2,4,6,8.0,10.0,12,13,15,13.0,20,14,15.0,18.0,19,20.0,22,24,26,28,30,32,34,35,37,43,40,42,44,47,50,53,40,36,34,32,29,27,25,23,21,18,14.0,20,16.0,25,27,29,31,32,35,37,25,23,21,17,16,25,27,30,42,40,33.0,35,33,31,29,26,23,21,21.0,14.0,37,35,33,31,29,48,45,7,10,11,17,19,21,23,26,30,35,37
G06 萬隆,30,27,21.0,22.0,17.0,23,25,27,29,31,34,35,36,33,35,37,39,41,42,44,46,48,44,37.0,12,10,7,6,4.0,2,0,3,4,6.0,8.0,10,11,14,15.0,18,12,13.0,16.0,17,18.0,20,22,24,26,28,30,32,33,35,41,38,40,42,45,48,51,38,34,32,30,27,25,23,21,19,16,12.0,18,15.0,23,25,27,29,30,33,35,23,21,19,15,14,23,25,28,40,38,35.0,33,31,29,27,24,21,19,19.0,12.0,35,33,31,29,27,46,43,9,12,13,19,21,23,25,28,32,37,39
G07 公館,27,24,18.0,19.0,14.0,20,23,24,27,29,31,32,34,30,33,35,36,38,40,41,44,45,41,35.0,15,12,10,8,6.0,4,3,0,2,4.0,6.0,8,9,11,13.0,15,9,11.0,14.0,14,16.0,18,20,22,24,26,27,29,31,33,38,36,38,40,42,45,49,35,32,30,28,25,23,21,19,17,13,9.0,15,12.0,21,23,24,26,28,30,32,20,18,16,12,11,20,22,25,38,35,33.0,31,28,26,24,22,18,16,16.0,9.0,33,31,29,27,25,43,40,12,14,16,21,24,25,27,30,34,39,42
G08 台電大樓,25,23,17.0,17.0,12.0,18,21,22,25,27,29,30,32,29,31,33,35,36,38,39,42,44,39,33.0,16,14,12,10,8.0,6,4,2,0,2.0,4.0,6,7,9,11.0,13,7,9.0,12.0,12,14.0,16,18,20,22,24,25,27,29,31,37,34,36,38,41,43,47,33,30,28,26,23,21,19,17,15,11,8.0,13,10.0,19,21,23,24,26,28,31,18,16,14,11,10,18,21,23,36,33,31.0,29,26,24,22,20,16,14,14.0,7.0,31,29,27,25,23,41,38,14,16,18,23,25,27,29,32,36,41,44
