鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
文山區,房地(土地+建物)+車位,臺北市文山區指南路三段77巷,14.73,住,,,1101225,土地5建物1車位1,一層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.07,2,1,1,有,無,11900000,185880,其他,23.12,1500000,,RPPNMLMLJHHGFAA56CB,政大爵鼎NO.1,A棟1F號
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路5段423巷,35.57,住,,,1090722,土地7建物1車位2,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,258.8,3,2,2,有,無,63950000,327351,升降平面,81.62,5950000,雨遮計坪不計價,RPQNMLMLJHHGFDA96CB,信義THE1,B1-12F號
松山區,房地(土地+建物)+車位,臺北市松山區南京東路四段52巷,24.67,住,,,1110118,土地6建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.74,3,2,2,有,無,50500000,396274,升降機械,14.35,2000000,,RPRNMLMLJHHGFDA07CB,敦北文華,B-10F號
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段423巷,40.27,住,,,1090920,土地7建物1車位2,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,280.85,3,2,2,有,無,68080000,314360,升降平面,81.62,5450000,雨遮計坪不計價,RPSNMLMLJHHGFDA17CB,信義THE1,A1-9F號
松山區,房地(土地+建物),臺北市松山區八德路四段,7.63,商,,,1110108,土地10建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.38,2,1,1,有,無,24400000,299828,,0.0,0,,RPRNMLNLJHHGFDA17CB,吉美艾麗,A6-6F號
松山區,房地(土地+建物)+車位,臺北市松山區八德路四段,6.71,商,,,1110113,土地10建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.04,2,1,1,有,無,23430000,299343,坡道平面,38.45,2000000,,RPTNMLNLJHHGFDA37CB,吉美艾麗,A8-5F號
大安區,房地(土地+建物),臺北市大安區建國南路一段304巷49號,0.0,住,,,1101226,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,44.9,1,1,1,有,無,15420000,343430,,0.0,0,本案地上權房屋，係因確認位置，但無土地持份地上權房屋；,RPPNMLNLJHHGFFA17CB,基泰大安,D7號
大安區,房地(土地+建物)+車位,臺北市大安區建國南路一段304巷49號,0.0,住,,,1101123,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,62.73,1,1,1,有,無,16240000,310244,坡道機械,18.12,2400000,本案地上權房屋，係因確認位置，但無土地持份地上權房屋；,RPQNMLNLJHHGFFA27CB,基泰大安,F6號
大安區,房地(土地+建物)+車位,臺北市大安區建國南路一段304巷49號,0.0,住,,,1101225,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,58.91,1,1,1,有,無,16760000,352047,坡道機械,18.12,2400000,本案為地上權房屋，系因確認位置，但無土地持份地上權房屋；,RPRNMLNLJHHGFFA37CB,基泰大安,B7號
大安區,房地(土地+建物)+車位,臺北市大安區建國南路一段304巷49號,0.0,住,,,1101224,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,60.31,1,1,1,有,無,17000000,346054,坡道機械,18.12,2400000,本案為地上權房屋，系因確認位置，但無土地持份地上權房屋；,RPSNMLNLJHHGFFA47CB,基泰大安,A7號
